id	hanzi	hsk	unit	pinyin	translations0	translations1	translations2	translations3	custom_translation	subunit	course	literal_translation
2825	传达	6		chuán dá	to pass on	to convey	to relay	to transmit	f		hsk	
2826	传单	6		chuán dān	leaflet	flier	pamphlet		f		hsk	
2827	传授	6		chuán shòu	to impart	to pass on	to teach		f		hsk	
2828	喘气	6		chuǎn qì	to breathe deeply	to pant			f		hsk	
2829	串	6		chuàn	to string together	to mix up	to conspire	to rove	f		hsk	
2830	床单	6		chuáng dān	bed sheet	CL:條|条	件	張|张	f		hsk	
2831	创立	6		chuàng lì	to establish	to set up	to found		f		hsk	
2832	创新	6		chuàng xīn	innovation	to bring forth new ideas	to blaze new trails		f		hsk	
2833	创业	6		chuàng yè	to begin an undertaking	to start a major task	to initiate	to venture	f		hsk	
2834	创作	6		chuàng zuò	to create	to produce	to write	creative work	f		hsk	
2835	吹牛	6		chuī niú	to talk big	to shoot off one's mouth	to chat (dialect)		f		hsk	
2836	吹捧	6		chuī pěng	to flatter	to laud sb's accomplishments	adulation		f		hsk	
2837	锤	6		chuí	hammer	to hammer into shape	weight (e.g. of a steelyard or balance)		f		hsk	
2838	垂直	6		chuí zhí	perpendicular	vertical			f		hsk	
2839	纯粹	6		chún cuì	purely				f		hsk	
2840	纯洁	6		chún jié	pure	clean and honest	to purify		f		hsk	
2841	词汇	6		cí huì	vocabulary	list of words (e.g. for language teaching purposes)			f		hsk	
2842	慈祥	6		cí xiáng	kindly	benevolent (often of older person)			f		hsk	
2843	雌雄	6		cí xióng	male and female				f		hsk	
2844	刺	6		cì	thorn	sting	thrust	to prick	f		hsk	
2845	次品	6		cì pǐn	substandard products	defective	seconds		f		hsk	
2846	次序	6		cì xù	sequence	order			f		hsk	
2847	伺候	6		cì hòu	to serve	to wait upon			f		hsk	
2848	丛	6		cóng	cluster	collection	collection of books	thicket	f		hsk	
2849	从容不迫	6		cóng róng bù pò	calm	unruffled			f		hsk	
2850	凑合	6		còu he	to bring together	to make do in a bad situation	to just get by	to improvise	f		hsk	
2851	粗鲁	6		cū lǔ	crude	coarse	rough		f		hsk	
2852	窜	6		cuàn	to flee	to scuttle	to exile or banish	to amend or edit	f		hsk	
2853	摧残	6		cuī cán	to ravage	to ruin			f		hsk	
2854	脆弱	6		cuì ruò	weak	frail			f		hsk	
2855	搓	6		cuō	to rub or roll between the hands or fingers	to twist			f		hsk	
2856	磋商	6		cuō shāng	to consult	to discuss seriously	to negotiate	to confer	f		hsk	
2857	挫折	6		cuò zhé	setback	reverse	check	defeat	f		hsk	
2858	搭	6		dā	to put up	to build (scaffolding)	to hang (clothes on a pole)	to connect	f		hsk	
2859	搭档	6		dā dàng	to cooperate	partner			f		hsk	
2860	搭配	6		dā pèi	to pair up	to match	to arrange in pairs	to add sth into a group	f		hsk	
2861	答辩	6		dá biàn	to reply (to an accusation)	to defend one's dissertation			f		hsk	
2862	答复	6		dá fù	to answer	to reply	Reply to: (in email header)		f		hsk	
2863	达成	6		dá chéng	to reach (an agreement)	to accomplish			f		hsk	
2864	打包	6		dǎ bāo	to wrap	to pack	to ask for a doggy bag (at a restaurant)		f		hsk	
2865	打官司	6		dǎ guān si	to file a lawsuit	to sue	to dispute		f		hsk	
2866	打击	6		dǎ jī	to hit	to strike	to attack	to crack down on sth	f		hsk	
2867	打架	6		dǎ jià	to fight	to scuffle	to come to blows	CL:場|场[cháng]	f		hsk	
2868	打量	6		dǎ liang	to size sb up	to take measure of	to suppose	to reckon	f		hsk	
2869	打猎	6		dǎ liè	to go hunting				f		hsk	
2870	打仗	6		dǎ zhàng	to fight a battle	to go to war			f		hsk	
2871	大不了	6		dà bù liǎo	at worst	if worst comes to worst	serious	alarming	f		hsk	
2872	大臣	6		dà chén	chancellor (of a monarchy)	cabinet minister			f		hsk	
2873	大伙儿	6		dà huǒ r	erhua variant of 大伙[dà huǒ]				f		hsk	
2874	大厦	6		dà shà	large building	edifice	mansion	CL:座[zuò]	f		hsk	
2875	大肆	6		dà sì	wantonly	without restraint (of enemy or malefactor)	unbridled		f		hsk	
2876	大体	6		dà tǐ	in general	more or less	in rough terms	basically	f		hsk	
2877	大意	6		dà yi	careless				f		hsk	
2878	大致	6		dà zhì	more or less	roughly	approximately		f		hsk	
2879	歹徒	6		dǎi tú	evil-doer	malefactor	gangster	hoodlum	f		hsk	
2880	带领	6		dài lǐng	to guide	to lead			f		hsk	
2881	代价	6		dài jià	price	cost	consideration (in share dealing)		f		hsk	
2882	代理	6		dài lǐ	to act on behalf of sb in a responsible position	to act as an agent or proxy	surrogate		f		hsk	
2883	逮捕	6		dài bǔ	to arrest	to apprehend	an arrest		f		hsk	
2884	怠慢	6		dài màn	to slight	to neglect			f		hsk	
