id	hanzi	hsk	unit	pinyin	translations0	translations1	translations2	translations3	custom_translation	subunit	course	literal_translation
4294	停泊	6		tíng bó	to anchor	anchorage	mooring (of a ship)		f		hsk	
4295	停顿	6		tíng dùn	to halt	to break off	pause (in speech)		f		hsk	
4296	停滞	6		tíng zhì	stagnation	at a standstill	bogged down		f		hsk	
4297	亭子	6		tíng zi	pavilion				f		hsk	
4298	挺拔	6		tǐng bá	tall and straight				f		hsk	
4299	通货	6		tōng huò	currency	exchange of goods			f		hsk	
4300	通俗	6		tōng sú	common	everyday	average		f		hsk	
4301	通用	6		tōng yòng	common (use)	interchangeable			f		hsk	
4302	铜矿	6		tóng kuàng	Copper				f		hsk	
4303	同胞	6		tóng bāo	born of the same parents	sibling	fellow citizen	compatriot	f		hsk	
4304	同志	6		tóng zhì	comrade	homosexual (slang)	CL:個|个[gè]		f		hsk	
4305	童话	6		tóng huà	children's fairy tales				f		hsk	
4306	统筹兼顾	6		tǒng chóu jiān gù	an overall plan taking into account all factors				f		hsk	
4307	统计	6		tǒng jì	statistics	to count	to add up		f		hsk	
4308	统统	6		tǒng tǒng	totally				f		hsk	
4309	投机	6		tóu jī	to speculate (on financial markets)	opportunistic	congenial	agreeable	f		hsk	
4310	投票	6		tóu piào	to vote	vote			f		hsk	
4311	投降	6		tóu xiáng	to surrender	surrender			f		hsk	
4312	投掷	6		tóu zhì	to throw sth a long distance	to hurl	to throw at	to throw (dice etc)	f		hsk	
4313	秃	6		tū	bald	blunt			f		hsk	
4314	突破	6		tū pò	to break through	to make a breakthrough	to surmount or break the back of (a task etc)	(of ball sports) to break through a defense	f		hsk	
4315	图案	6		tú àn	design	pattern			f		hsk	
4316	徒弟	6		tú dì	apprentice	disciple			f		hsk	
4317	途径	6		tú jìng	way	channel			f		hsk	
4318	涂抹	6		tú mǒ	to paint	to smear	to apply (makeup etc)	to doodle	f		hsk	
4319	土壤	6		tǔ rǎng	soil				f		hsk	
4320	团结	6		tuán jié	a rally	to hold a rally	to join forces		f		hsk	
4321	团体	6		tuán tǐ	group	organization	team	CL:個|个[gè]	f		hsk	
4322	团圆	6		tuán yuán	to have a reunion				f		hsk	
4323	推测	6		tuī cè	speculation	to conjecture	to surmise	to speculate	f		hsk	
4324	推翻	6		tuī fān	to overthrow				f		hsk	
4325	推理	6		tuī lǐ	reasoning	speculative	inference		f		hsk	
4326	推论	6		tuī lùn	to infer	inference	corollary	reasoned conclusion	f		hsk	
4327	推销	6		tuī xiāo	to market	to sell			f		hsk	
4328	吞咽	6		tūn yàn	to swallow	to gulp			f		hsk	
4329	脱离	6		tuō lí	to separate oneself from	to break away from	diastasis (medicine)	abscission	f		hsk	
4330	拖延	6		tuō yán	to adjourn	to delay	to defer	adjournment	f		hsk	
4331	托运	6		tuō yùn	to consign (goods)	to check through (baggage)			f		hsk	
4332	妥当	6		tuǒ dang	appropriate	proper	ready		f		hsk	
4333	妥善	6		tuǒ shàn	appropriate	proper			f		hsk	
4334	妥协	6		tuǒ xié	to compromise	to reach terms	a compromise		f		hsk	
4335	椭圆	6		tuǒ yuán	oval	ellipse	elliptic		f		hsk	
4336	唾沫	6		tuò mo	spittle	saliva			f		hsk	
4337	挖掘	6		wā jué	to excavate	to dig	to unearth		f		hsk	
4338	娃娃	6		wá wa	baby	small child	doll		f		hsk	
4339	瓦解	6		wǎ jiě	to collapse	to disintegrate	to crumble		f		hsk	
4340	哇	6		wa	replaces 啊 when following the vowel 'u' or 'ao'				f		hsk	
4341	歪曲	6		wāi qū	to distort	to misrepresent			f		hsk	
4342	外表	6		wài biǎo	external	outside	outward appearance		f		hsk	
4343	外行	6		wài háng	layman	amateur			f		hsk	
4344	外界	6		wài jiè	the outside world	external			f		hsk	
4345	外向	6		wài xiàng	outward-looking	extrovert	extroverted (personality)	export-oriented (economy)	f		hsk	
4346	丸	6		wán	pill				f		hsk	
4347	完备	6		wán bèi	faultless	complete	perfect	to leave nothing to be desired	f		hsk	
4348	完毕	6		wán bì	to finish	to end	to complete		f		hsk	
4349	玩弄	6		wán nòng	to play with	to toy with	to dally with	to engage in	f		hsk	
4350	玩意儿	6		wán yì r	erhua variant of 玩意[wán yì]				f		hsk	
4351	顽固	6		wán gù	stubborn	obstinate			f		hsk	
4352	顽强	6		wán qiáng	tenacious	hard to defeat			f		hsk	
4353	挽回	6		wǎn huí	to retrieve	to redeem			f		hsk	
4354	挽救	6		wǎn jiù	to save	to remedy	to rescue		f		hsk	
4355	惋惜	6		wǎn xī	to feel sorry for a person over sth that should have happened				f		hsk	
4356	万分	6		wàn fēn	very much	extremely	one ten thousandth part		f		hsk	
4357	往常	6		wǎng cháng	habitually (in the past)	as one used to do formerly	as it used to be		f		hsk	
4358	往事	6		wǎng shì	past events	former happenings			f		hsk	
4359	网络	6		wǎng luò	network (computing	telecommunications	transport etc)		f		hsk	
4360	妄想	6		wàng xiǎng	to attempt vainly	a vain attempt			f		hsk	
4361	微不足道	6		wēi bù zú dào	negligible	insignificant			f		hsk	
4362	微观	6		wēi guān	micro-	sub-atomic			f		hsk	
4363	威风	6		wēi fēng	might	awe-inspiring authority	impressive		f		hsk	
4364	威力	6		wēi lì	might	formidable power			f		hsk	
4365	威望	6		wēi wàng	prestige				f		hsk	
4366	威信	6		wēi xìn	prestige	reputation	trust	credit with the people	f		hsk	
4367	危机	6		wēi jī	crisis	CL:個|个[gè]			f		hsk	
4368	违背	6		wéi bèi	to violate	to be contrary to			f		hsk	
4369	维持	6		wéi chí	to keep	to maintain	to preserve		f		hsk	
4370	维生素	6		wéi shēng sù	vitamin				f		hsk	
4371	维修	6		wéi xiū	maintenance (of equipment)	to protect and maintain			f		hsk	
4372	唯独	6		wéi dú	only	just (i.e. it is only that...)	all except	unique	f		hsk	
4373	为难	6		wéi nán	to feel embarrassed or awkward	to make things difficult (for someone)	to find things difficult (to do or manage)		f		hsk	
4374	为期	6		wéi qī	(to be done) by (a certain date)	lasting (a certain time)			f		hsk	
4375	为首	6		wéi shǒu	head	be headed by			f		hsk	
4376	委员	6		wěi yuán	committee member	committee	council	CL:個|个[gè]	f		hsk	
4377	伪造	6		wěi zào	to forge	to fake	to counterfeit		f		hsk	
4378	胃口	6		wèi kǒu	appetite				f		hsk	
4379	位于	6		wèi yú	to be located at	to be situated at	to lie		f		hsk	
4380	未免	6		wèi miǎn	unavoidable	a bit too much	over the top (you exaggerate)		f		hsk	
4381	畏惧	6		wèi jù	to fear	to dread	foreboding		f		hsk	
4382	卫星	6		wèi xīng	(space) satellite	CL:顆|颗[kē]			f		hsk	
4383	慰问	6		wèi wèn	to express sympathy	greetings	consolation etc		f		hsk	
4384	温带	6		wēn dài	temperate zone				f		hsk	
4385	温和	6		wēn hé	mild	gentle	moderate		f		hsk	
4386	文凭	6		wén píng	diploma				f		hsk	
4387	文物	6		wén wù	cultural relic	historical relic	CL:件	個|个[gè]	f		hsk	
4388	文献	6		wén xiàn	document				f		hsk	
4389	文雅	6		wén yǎ	elegant	refined			f		hsk	
4390	文艺	6		wén yì	literature and art				f		hsk	
4391	问世	6		wèn shì	to be published	to come out			f		hsk	
4392	窝	6		wō	nest	pit or hollow on the human body	lair	den	f		hsk	
4393	乌黑	6		wū hēi	jet-black	dark			f		hsk	
4394	污蔑	6		wū miè	to slander	to smear	to tarnish		f		hsk	
4395	诬陷	6		wū xiàn	to entrap	to frame	to plant false evidence against sb		f		hsk	
4396	无比	6		wú bǐ	incomparable	matchless			f		hsk	
4397	无偿	6		wú cháng	free	no charge	at no cost		f		hsk	
4398	无耻	6		wú chǐ	without any sense of shame	unembarrassed	shameless		f		hsk	
4399	无从	6		wú cóng	not to have access	beyond one's authority or capability	sth one has no way of doing		f		hsk	
4400	无动于衷	6		wú dòng yú zhōng	aloof	indifferent	unconcerned		f		hsk	
4401	无非	6		wú fēi	only	nothing else			f		hsk	
4402	无精打采	6		wú jīng dǎ cǎi	dispirited and downcast (idiom); listless	in low spirits	washed out		f		hsk	
4403	无可奉告	6		wú kě fèng gào	(idiom) 'no comment'				f		hsk	
4404	无可奈何	6		wú kě nài hé	have no way out	have no alternative	abbr. to 無奈|无奈[wú nài]		f		hsk	
4405	无赖	6		wú lài	hoodlum	rascal	rogue	rascally	f		hsk	
4406	无理取闹	6		wú lǐ qǔ nào	to make trouble without reason (idiom); to be deliberately provocative				f		hsk	
4407	无能为力	6		wú néng wéi lì	impotent (idiom)	powerless	helpless		f		hsk	
4408	无穷无尽	6		wú qióng wú jìn	vast and limitless (idiom); endless span of time	no vestige of a beginning	no prospect of an end		f		hsk	
4409	无微不至	6		wú wēi bù zhì	in every possible way (idiom); meticulous				f		hsk	
4410	无忧无虑	6		wú yōu wú lǜ	carefree and without worries (idiom)				f		hsk	
4411	无知	6		wú zhī	ignorant	ignorance			f		hsk	
4412	舞蹈	6		wǔ dǎo	dance				f		hsk	
4413	武侠	6		wǔ xiá	martial arts chivalry (Chinese literary	theatrical and cinema genre)	knight-errant		f		hsk	
4414	武装	6		wǔ zhuāng	arms	equipment	to arm	military	f		hsk	
4415	侮辱	6		wǔ rǔ	to insult	to humiliate	dishonor		f		hsk	
4416	勿	6		wù	do not				f		hsk	
4417	务必	6		wù bì	must	to need to	to be sure to		f		hsk	
4418	务实	6		wù shí	pragmatic	dealing with concrete issues			f		hsk	
4419	误差	6		wù chā	difference	error	inaccuracy		f		hsk	
4420	误解	6		wù jiě	to misunderstand	to misread	misunderstanding		f		hsk	
4421	物美价廉	6		wù měi jià lián	good quality and cheap	a bargain			f		hsk	
4422	物资	6		wù zī	goods	supplies			f		hsk	
4423	溪	6		xī	variant of 溪	creek	rivulet		f		hsk	
4424	膝盖	6		xī gài	knee				f		hsk	
4425	熄灭	6		xī miè	to stop burning	to go out (of fire)	to die out	extinguished	f		hsk	
4426	吸取	6		xī qǔ	to absorb	to draw (a lesson	insight etc)	to assimilate	f		hsk	
4427	昔日	6		xī rì	formerly	in olden days			f		hsk	
4428	牺牲	6		xī shēng	to sacrifice oneself	to lay down one's life	to do sth at the expense of	beast slaughtered for sacrifice	f		hsk	
4429	夕阳	6		xī yáng	sunset	the setting sun			f		hsk	
4430	媳妇	6		xí fù	daughter-in-law	wife (of a younger man)	young married woman	young woman	f		hsk	
4431	习俗	6		xí sú	custom	tradition	local tradition	convention	f		hsk	
4432	袭击	6		xí jī	attack (esp. surprise attack)	raid	to attack		f		hsk	
4433	喜闻乐见	6		xǐ wén lè jiàn	a delight to see (idiom); an attractive spectacle				f		hsk	
4434	喜悦	6		xǐ yuè	happy	joyous			f		hsk	
4435	系列	6		xì liè	series				f		hsk	
4436	细胞	6		xì bāo	cell (biology)				f		hsk	
4437	细菌	6		xì jūn	bacterium	germ			f		hsk	
4438	细致	6		xì zhì	delicate	fine	careful	meticulous	f		hsk	
4439	霞	6		xiá	red clouds				f		hsk	
4440	狭隘	6		xiá ài	narrow	tight	narrow minded	lacking in experience	f		hsk	
4441	狭窄	6		xiá zhǎi	narrow				f		hsk	
4442	峡谷	6		xiá gǔ	canyon	gill	ravine		f		hsk	
4443	夏令营	6		xià lìng yíng	summer camp				f		hsk	
4444	下属	6		xià shǔ	subordinate	underling			f		hsk	
4445	先进	6		xiān jìn	advanced (technology)	to advance			f		hsk	
4446	先前	6		xiān qián	before	previously			f		hsk	
4447	鲜明	6		xiān míng	bright	clear-cut	distinct		f		hsk	
4448	掀起	6		xiān qǐ	to lift	to raise in height	to begin	upsurge	f		hsk	
4449	纤维	6		xiān wéi	fiber	CL:種|种[zhǒng]			f		hsk	
4450	弦	6		xián	bow string	string of musical instrument	watchspring	chord (segment of curve)	f		hsk	
4451	嫌	6		xián	to dislike	suspicion	resentment	enmity	f		hsk	
4452	嫌疑	6		xián yí	suspicion	(be) suspected (of)			f		hsk	
4453	闲话	6		xián huà	digression	gossip	complaint	scandal	f		hsk	
4454	贤惠	6		xián huì	chaste	virtuous			f		hsk	
4455	衔接	6		xián jiē	to join together	to combine			f		hsk	
4456	显著	6		xiǎn zhù	outstanding	notable	remarkable	statistically significant	f		hsk	
4457	现场	6		xiàn chǎng	lit. actual location	the scene (of the incident)	on-the-spot		f		hsk	
4458	现成	6		xiàn chéng	ready-made	readily available			f		hsk	
4459	现状	6		xiàn zhuàng	current situation				f		hsk	
4460	宪法	6		xiàn fǎ	constitution (of a country)	CL:部[bù]			f		hsk	
4461	陷害	6		xiàn hài	to entrap	to set up	to frame (up)	to make false charges against	f		hsk	
4462	陷入	6		xiàn rù	to sink into	to get caught up in	to land in (a predicament)		f		hsk	
4463	馅儿	6		xiàn r	erhua variant of 餡|馅	stuffing	filling	e.g. in 包子 or 饺子[jiǎo zi]	f		hsk	
4464	线索	6		xiàn suǒ	trail	clues	thread (of a story)		f		hsk	
4465	相差	6		xiāng chà	to differ	discrepancy between			f		hsk	
4466	相等	6		xiāng děng	equal	equally	equivalent		f		hsk	
4467	相辅相成	6		xiāng fǔ xiāng chéng	to complement one another (idiom)				f		hsk	
4468	相应	6		xiāng yìng	to correspond	answering (one another)	to agree (among the part)	corresponding	f		hsk	
4469	镶嵌	6		xiāng qiàn	to inlay	to embed	to set (e.g. a jewel in a ring)	tiling	f		hsk	
4470	乡镇	6		xiāng zhèn	village	township			f		hsk	
4471	想方设法	6		xiǎng fāng shè fǎ	to think up every possible method (idiom); to devise ways and means	to try this	that and the other		f		hsk	
4472	响亮	6		xiǎng liàng	loud and clear	resounding			f		hsk	
4473	响应	6		xiǎng yìng	respond to	answer	CL:個|个[gè]		f		hsk	
4474	巷	6		xiàng	lane	alley			f		hsk	
4475	向导	6		xiàng dǎo	guide				f		hsk	
4476	向来	6		xiàng lái	always (previously)				f		hsk	
4477	向往	6		xiàng wǎng	to yearn for	to look forward to			f		hsk	
4478	消除	6		xiāo chú	to eliminate	to remove			f		hsk	
4479	消毒	6		xiāo dú	to disinfect	to sterilize			f		hsk	
4480	消防	6		xiāo fáng	fire-fighting	fire control			f		hsk	
4481	消耗	6		xiāo hào	to use up	to consume			f		hsk	
4482	消极	6		xiāo jí	negative	passive	inactive		f		hsk	
4483	销毁	6		xiāo huǐ	to destroy (by melting or burning)	to obliterate			f		hsk	
4484	小心翼翼	6		xiǎo xīn yì yì	cautious and solemn (idiom); very carefully	prudent	gently and cautiously		f		hsk	
4485	效益	6		xiào yì	benefit	effectiveness	efficiency		f		hsk	
4486	肖像	6		xiào xiàng	portrait				f		hsk	
4487	携带	6		xié dài	to carry (on one's person)	to support (old)	Taiwan pr. [xī dài]		f		hsk	
4488	协会	6		xié huì	an association	a society	CL:個|个	家[jiā]	f		hsk	
4489	协商	6		xié shāng	to consult with	to talk things over	agreement		f		hsk	
4490	协议	6		xié yì	agreement	pact	protocol	CL:項|项[xiàng]	f		hsk	
4491	协助	6		xié zhù	to provide assistance	to aid			f		hsk	
4492	写作	6	70	xiě zuò	writing	written works			f	1	hsk	
4493	屑	6		xiè	bits	fragments	crumbs	filings	f		hsk	
4494	谢绝	6		xiè jué	to refuse politely				f		hsk	
4495	泄露	6		xiè lù	to leak (information)	to divulge			f		hsk	
4496	泄气	6		xiè qì	to leak (gas)	to be discouraged	to despair	(disparaging) pathetic	f		hsk	
4497	新陈代谢	6		xīn chén dài xiè	metabolism (biology)	the new replaces the old (idiom)			f		hsk	
4498	新郎	6		xīn láng	bridegroom	groom			f		hsk	
4499	新娘	6		xīn niáng	bride				f		hsk	
4500	新颖	6		xīn yǐng	lit. new bud	fig. new and original			f		hsk	
4501	心得	6		xīn dé	knowledge gained	CL:個|个[gè]			f		hsk	
4502	心灵	6		xīn líng	bright	smart	quick-witted	heart	f		hsk	
4503	心态	6		xīn tài	attitude (of the heart)	state of one's psyche	way of thinking	mentality	f		hsk	
4504	心疼	6		xīn téng	to love dearly	the pain of love			f		hsk	
4505	心血	6		xīn xuè	heart's blood	expenditure (for some project)	meticulous care		f		hsk	
4506	心眼儿	6		xīn yǎn r	one's thoughts	mind	intention	willingness to accept new ideas	f		hsk	
4507	辛勤	6		xīn qín	hardworking	industrious			f		hsk	
4508	欣慰	6		xīn wèi	to be gratified				f		hsk	
4509	欣欣向荣	6		xīn xīn xiàng róng	luxuriant growth (idiom); flourishing	thriving			f		hsk	
4510	薪水	6		xīn shuǐ	salary	wage			f		hsk	
4511	信赖	6		xìn lài	to trust	to have confidence in	to have faith in	to rely on	f		hsk	
4512	信念	6		xìn niàn	faith	belief	conviction		f		hsk	
4513	信仰	6		xìn yǎng	to believe in (a religion)	firm belief	conviction		f		hsk	
4514	信誉	6		xìn yù	prestige	distinction	reputation	trust	f		hsk	
4515	腥	6		xīng	fishy (smell)				f		hsk	
4516	兴隆	6		xīng lóng	prosperous	thriving	flourishing		f		hsk	
4517	兴旺	6		xīng wàng	prosperous	thriving	to prosper	to flourish	f		hsk	
4518	行政	6		xíng zhèng	administrative	executive (adjective)			f		hsk	
4519	形态	6		xíng tài	shape	form	pattern	morphology	f		hsk	
4520	刑事	6		xíng shì	criminal	penal			f		hsk	
4521	性感	6		xìng gǎn	sex appeal	eroticism	sexuality	sexy	f		hsk	
4522	性命	6		xìng mìng	life				f		hsk	
4523	性能	6		xìng néng	function	performance			f		hsk	
4524	性情	6		xìng qíng	nature	temperament			f		hsk	
4525	幸好	6		xìng hǎo	fortunately				f		hsk	
4526	兴高采烈	6		xīng gāo cǎi liè	happy and excited (idiom); in high spirits	in great delight			f		hsk	
4527	兴致勃勃	6		xìng zhì bó bó	to become exhilarated (idiom); in high spirits	full of zest			f		hsk	
4528	胸怀	6		xiōng huái	one's bosom (the seat of emotions)	breast	broad-minded and open	to think about	f		hsk	
4529	胸膛	6		xiōng táng	chest				f		hsk	
4530	凶恶	6		xiōng è	variant of 兇惡|凶恶	fierce	ferocious	fiendish	f		hsk	
4531	凶手	6		xiōng shǒu	murderer	assassin			f		hsk	
4532	雄厚	6		xióng hòu	robust	strong and solid			f		hsk	
4533	修复	6		xiū fù	to restore	to renovate	restoration		f		hsk	
4534	修建	6		xiū jiàn	to build	to construct			f		hsk	
4535	修理	6		xiū lǐ	to repair	to perform maintenance	to overhaul	to fix	f		hsk	
4536	羞耻	6		xiū chǐ	(a feeling of) shame				f		hsk	
4537	休养	6		xiū yǎng	to recuperate	to recover	to convalesce		f		hsk	
4538	绣	6		xiù	to embroider	embroidery			f		hsk	
4539	嗅觉	6		xiù jué	sense of smell				f		hsk	
4540	虚假	6		xū jiǎ	false	phony	pretense		f		hsk	
4541	虚荣	6		xū róng	vanity				f		hsk	
4542	虚伪	6		xū wěi	false	hypocritical	artificial	sham	f		hsk	
4543	需求	6		xū qiú	requirement	demand (economics)			f		hsk	
4544	须知	6		xū zhī	prerequisites	rules that must be known before starting sth			f		hsk	
4545	许可	6		xǔ kě	to allow	to permit			f		hsk	
4546	酗酒	6		xù jiǔ	heavy drinking	to get drunk	to drink to excess		f		hsk	
4547	畜牧	6		xù mù	to raise animals				f		hsk	
4548	序言	6		xù yán	preface	introductory remarks	preamble	prelude	f		hsk	
4549	宣誓	6		xuān shì	to swear an oath (of office)	to make a vow			f		hsk	
4550	宣扬	6		xuān yáng	to proclaim	to make public or well known			f		hsk	
4551	悬挂	6		xuán guà	to suspend	to hang	suspension (cable car)		f		hsk	
4552	悬念	6		xuán niàn	suspense in a movie	play etc	concern for sb's welfare		f		hsk	
4553	悬崖峭壁	6		xuán yá qiào bì	sheer cliffs and precipitous rock faces (idiom)				f		hsk	
4554	旋律	6		xuán lǜ	melody	rhythm			f		hsk	
4555	旋转	6		xuán zhuǎn	to rotate	to revolve	to spin	to whirl	f		hsk	
4556	选拔	6		xuǎn bá	to select the best				f		hsk	
4557	选手	6		xuǎn shǒu	athlete	contestant			f		hsk	
4558	削弱	6		xuē ruò	to weaken	to impair	to cripple		f		hsk	
4559	学历	6		xué lì	educational background	academic qualifications			f		hsk	
4560	学说	6		xué shuō	theory	doctrine			f		hsk	
4561	学位	6		xué wèi	academic degree	e.g.: BSc 學士學位|学士学位	MSc 碩士學位|硕士学位	Diploma 學位證書|学位证书	f		hsk	
4562	雪上加霜	6		xuě shàng jiā shuāng	to add hail to snow (idiom); one disaster on top of another	to make things worse in a bad situation			f		hsk	
4563	血压	6		xuè yā	blood pressure				f		hsk	
4564	熏陶	6		xūn táo	to seep in	to influence	to nurture	influence	f		hsk	
4565	循环	6		xún huán	to cycle	to circulate	circle	loop	f		hsk	
4566	循序渐进	6		xún xù jiàn jìn	in sequence	step by step (idiom); to make steady progress incrementally			f		hsk	
4567	巡逻	6		xún luó	to patrol (police	army or navy)			f		hsk	
4568	寻觅	6		xún mì	to look for				f		hsk	
4569	押金	6		yā jīn	deposit	down payment			f		hsk	
4570	压迫	6		yā pò	to oppress	to repress	to constrict	oppression	f		hsk	
4571	压岁钱	6		yā suì qián	money given to children as new year present				f		hsk	
4572	压缩	6		yā suō	to compress	compression			f		hsk	
4573	压抑	6		yā yì	to constrain or repress emotions	oppressive	stifling	depressing	f		hsk	
4574	压榨	6		yā zhà	to press	to squeeze	to extract juice	oil etc by squeezing	f		hsk	
4575	压制	6		yā zhì	to suppress	to inhibit	to stifle		f		hsk	
4576	亚军	6		yà jūn	second place (in a sports contest)	runner-up			f		hsk	
4577	烟花	6		yān huā	fireworks	prostitute (esp. in Yuan theater)			f		hsk	
4578	淹没	6		yān mò	to submerge	to drown	to flood	to drown out (also fig.)	f		hsk	
4579	延期	6		yán qī	to delay	to extend	to postpone	to defer	f		hsk	
4580	延伸	6		yán shēn	to extend	to spread			f		hsk	
4581	延续	6		yán xù	to continue	to go on	to last		f		hsk	
4582	严寒	6		yán hán	bitter cold	severe winter			f		hsk	
4583	严禁	6		yán jìn	strictly prohibit				f		hsk	
4584	严峻	6		yán jùn	grim	severe	rigorous		f		hsk	
4585	严厉	6		yán lì	severe	strict			f		hsk	
4586	严密	6		yán mì	strict	tight (organization	surveillance etc)		f		hsk	
4587	沿海	6		yán hǎi	coastal				f		hsk	
4588	言论	6		yán lùn	speech	expression of opinion	public opinion		f		hsk	
4589	炎热	6		yán rè	blistering hot	sizzling hot (weather)			f		hsk	
4590	岩石	6		yán shí	rock				f		hsk	
4591	演变	6		yǎn biàn	to develop	to evolve			f		hsk	
4592	演讲	6		yǎn jiǎng	lecture	to make a speech			f		hsk	
4593	演习	6		yǎn xí	maneuver	exercise	practice	to maneuver	f		hsk	
4594	演绎	6		yǎn yì	to deduce	to infer			f		hsk	
4595	演奏	6		yǎn zòu	to play a musical instrument	to perform music			f		hsk	
4596	掩盖	6		yǎn gài	to conceal	to hide behind	to cover up		f		hsk	
4597	掩护	6		yǎn hù	to screen	to shield	to cover	protection	f		hsk	
4598	掩饰	6		yǎn shì	to conceal a fault	to gloss over			f		hsk	
4599	眼光	6		yǎn guāng	gaze	insight	foresight	vision	f		hsk	
4600	眼色	6		yǎn sè	a wink	to signal with one's eyes			f		hsk	
4601	眼神	6		yǎn shén	expression or emotion showing in one's eyes	meaningful glance	wink	eyesight (topolect)	f		hsk	
4602	眼下	6		yǎn xià	now	at present	subocular (medicine)		f		hsk	
4603	验收	6		yàn shōu	to check on receipt	an inventory of received goods	to verify and accept (a delivery)		f		hsk	
4604	验证	6		yàn zhèng	to inspect and verify	experimental verification	to validate (a theory)	to authenticate	f		hsk	
4605	厌恶	6		yàn wù	to loathe	to hate	disgusted with sth		f		hsk	
4606	氧气	6		yǎng qì	oxygen				f		hsk	
4607	样品	6		yàng pǐn	sample	specimen			f		hsk	
4608	摇摆	6		yáo bǎi	to sway	to wobble	to waver		f		hsk	
4609	摇滚	6		yáo gǔn	to shake and boil	rock and roll (music)			f		hsk	
4610	摇晃	6		yáo huàng	to rock	to shake	to sway		f		hsk	
4611	遥控	6		yáo kòng	remote control				f		hsk	
4612	遥远	6		yáo yuǎn	distant	remote			f		hsk	
4613	谣言	6		yáo yán	rumor				f		hsk	
4614	咬牙切齿	6		yǎo yá qiè chǐ	gnashing one's teeth (idiom); displaying extreme anger	fuming with rage between gritted teeth			f		hsk	
4615	要不然	6		yào bù rán	otherwise	or else	or		f		hsk	
4616	要点	6		yào diǎn	main point	essential			f		hsk	
4617	要命	6		yào mìng	to cause sb's death	very	extremely	frightening	f		hsk	
4618	要素	6		yào sù	essential factor	key constituent			f		hsk	
4619	耀眼	6		yào yǎn	to dazzle	dazzling			f		hsk	
4620	野蛮	6		yě mán	barbarous	uncivilized			f		hsk	
4621	野心	6		yě xīn	ambition	wild schemes	careerism		f		hsk	
4622	一流	6		yī liú	top quality	front ranking			f		hsk	
4623	依次	6		yī cì	in order	in succession			f		hsk	
4624	依旧	6		yī jiù	as before	still			f		hsk	
4625	依据	6		yī jù	according to	basis	foundation		f		hsk	
4626	依靠	6		yī kào	to rely on sth (for support etc)	to depend on			f		hsk	
4627	依赖	6		yī lài	to depend on	to be dependent on			f		hsk	
4628	依托	6		yī tuō	to rely on	to depend on			f		hsk	
4629	衣裳	6		yī shang	clothes				f		hsk	
4630	一度	6		yī dù	for a time	at one time	one time	once	f		hsk	
4631	一贯	6		yī guàn	consistent	constant	from start to finish	all along	f		hsk	
4632	一律	6		yī lǜ	same	uniformly	all	without exception	f		hsk	
4633	一目了然	6		yī mù liǎo rán	obvious at a glance (idiom)				f		hsk	
4634	一向	6		yī xiàng	always (previously)	a period of time in the recent past			f		hsk	
4635	一再	6		yī zài	repeatedly				f		hsk	
4636	遗产	6		yí chǎn	heritage	legacy	inheritance	bequest	f		hsk	
4637	遗传	6		yí chuán	heredity	inheritance	to transmit		f		hsk	
4638	遗留	6		yí liú	(leave or be a) legacy	left over	hand down (to next generation)		f		hsk	
4639	遗失	6		yí shī	to lose	lost			f		hsk	
4640	疑惑	6		yí huò	to doubt	to distrust	unconvincing	to puzzle over	f		hsk	
4641	仪器	6		yí qì	instrument	apparatus	CL:臺|台[tái]		f		hsk	
4642	仪式	6		yí shì	ceremony				f		hsk	
4643	以便	6		yǐ biàn	so that	so as to	in order to		f		hsk	
4644	以免	6		yǐ miǎn	in order to avoid	so as not to			f		hsk	
4645	以往	6		yǐ wǎng	in the past	formerly			f		hsk	
4646	以至	6		yǐ zhì	down to	up to	to such an extent as to ... (also written 以至於|以至于)		f		hsk	
4647	以致	6		yǐ zhì	to such an extent as to	down to	up to		f		hsk	
4648	亦	6		yì	also				f		hsk	
4649	翼	6		yì	wing	area surrounding the bullseye of a target	to assist	one of the 28 constellations of Chinese astronomy	f		hsk	
4650	一帆风顺	6		yī fān fēng shùn	propitious wind throughout the journey (idiom)	plain sailing	to go smoothly	have a nice trip!	f		hsk	
4651	一举两得	6		yī jǔ liǎng dé	one move	two gains (idiom); two birds with one stone			f		hsk	
4652	一如既往	6		yī rú jì wǎng	just as in the past (idiom); as before	continuing as always			f		hsk	
4653	一丝不苟	6		yī sī bù gǒu	not one thread loose (idiom); strictly according to the rules	meticulous	not one hair out of place		f		hsk	
4654	异常	6		yì cháng	exceptional	abnormal	an anomaly		f		hsk	
4655	意料	6		yì liào	to anticipate	to expect			f		hsk	
4656	意识	6		yì shí	consciousness	awareness	consciously (i.e. deliberately)	to be aware	f		hsk	
4657	意图	6		yì tú	intent	intention	intend	schematic diagram	f		hsk	
4658	意味着	6		yì wèi zhe	to signify	to mean	to imply		f		hsk	
4659	意向	6		yì xiàng	intention	purpose	intent	inclination	f		hsk	
4660	意志	6		yì zhì	will	willpower	determination	CL:個|个[gè]	f		hsk	
4661	毅力	6		yì lì	perseverance	willpower			f		hsk	
4662	毅然	6		yì rán	firmly	resolutely	without hesitation		f		hsk	
4663	抑制	6		yì zhì	to inhibit	to keep down	to suppress		f		hsk	
4664	阴谋	6		yīn móu	plot	conspiracy			f		hsk	
4665	音响	6		yīn xiǎng	speakers or speaker (electronic)	acoustics	sound field (in a room or theater)		f		hsk	
